citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
19177,7890,Verified email at asu.edu - ,40,23,129,57,2019,1996,K. Selcuk Candan,"Professor of Computer Science and Engineering,  Arizona State University None","Data management,databases,multimedia retrieval",374
19182,7365,Verified email at stanford.edu - ,69,45,141,95,2019,1899,Kunle Olukotun,"Cadence Design Systems Professor of Computer Science,  Stanford University None","computer architecture,parallel computing,programming languages",266
19255,5886,Verified email at cse.unsw.edu.au,61,35,179,103,2019,1995,boualem benatallah,"Scientia Professor, Computer Science and Engineering,  UNSW Australia None","SOA/BPM/APIs,Data Curation and Cognitive Services,Crowdsourcing,Cloud Services Orchestration.",504
19270,4245,Verified email at seas.upenn.edu - ,70,32,205,91,2019,1716,Norman Badler,"Rachleff Professor of Computer & Information Science,  Univ. of Pennsylvania None",Computer Graphics,546
19309,10137,Verified email at ucsc.edu - ,64,51,193,149,2019,1982,Lise Getoor,"Professor of Computer Science,  University of California, Santa Cruz None","Machine Learning,Reasoning Under Uncertainty,Graph & Network Analysis,Information Integration,Ethics & Responsible Data Scie",421
19190,12067,Verified email at skct.edu.in,59,42,382,263,2019,1957,Dr. S.J.K. jagadeesh kumar,"professor of computer science and engg, Sri Krishna college of tech, Coimbatore Broad band wireless access None","Broad band wireless access,WiMAX",3090
19347,9701,Verified email at sun.ac.za,57,42,194,142,2019,1991,Andries Engelbrecht,", Department of Industrial Engineering, and Division of Computer Science Stellenbosch University None","Swarm Intelligence,Evolutionary Computation,Neural Networks,Optimization,Data Analytics",473
19360,5747,Verified email at cis.upenn.edu - ,64,34,161,92,2019,1970,Benjamin C. Pierce,"Professor of Computer and Information Science,  University of Pennsylvania None","Programming languages,type systems,security and privacy,functional programming,formal specification and verification",378
19437,12633,Verified email at hit.edu.cn,60,48,344,296,2020,1983,Yang Liu,"Computer science,  Harbin institute of technology None","Artificial Intelligence,machine learning,computer vision",1003
19460,10326,Verified email at cs.cornell.edu - ,65,45,138,102,2019,1990,Claire Cardie,"Professor of Computer Science,  Cornell University None","natural language processing,computational linguistics,computational social science,digital government,deception detection",244
19482,6815,Verified email at informatik.rwth-aachen.de - ,71,41,204,140,2019,1990,Leif Kobbelt,"Professor of Computer Science,  RWTH Aachen University None","Computer Graphics,Geometry Processing,Geometric Modeling,Computer Aided Design,Computer Vision",405
19483,7500,Verified email at idc.ac.il,49,38,106,81,2019,1996,Zohar Yakhini,"Faculty Member, Computer Science at  IDC Herzeliya None",Computational Biology,241
19509,5845,Verified email at cs.umd.edu - ,64,38,155,101,2019,1913,Benjamin B. Bederson,"Professor of Computer Science,  University of Maryland None",Human-Computer Interaction,380
19515,6020,Verified email at asu.edu,63,37,182,103,2019,1973,Kurt VanLehn,"Professor of Computer Science,  Arizona State University None",Intelligent Tutoring Systems,371
19520,6485,No verified email,58,32,100,62,2019,1987,Dan Geiger,"Professor of Computer Science, Technion None None",,211
19520,14215,Verified email at cs.utexas.edu - ,68,60,137,134,2019,1932,Kristen Grauman,"Professor of Computer Science,  University of Texas at Austin None","Computer Vision,Machine Learning",285
19554,4674,No verified email,53,22,122,37,2013,1958,Karen Spärck Jones (1935-2007),"Professor of Computer Science, Cambridge University information retrieval None","information retrieval,natural language processing",263
19610,6632,Verified email at bu.edu - ,68,40,159,105,2019,1990,Stan Sclaroff,"Dean of Arts & Sciences, Professor of Computer Science,  Boston University None","Computer vision,pattern recognition,machine learning,multimedia",311
19546,12194,Verified email at iium.edu.my,55,43,443,302,2020,1914,Abdul Wahab Abdul Rahman,"Professor of Computer Science, Kulliyyah of Information and Communication Technology, international Artificial Intelligence None","Artificial Intelligence,Cognitive Science,Computational Modeling of Affect",3101
19622,8956,Verified email at umn.edu,65,46,256,167,2020,1973,Shashi Shekhar,"McKnight Distinguished University Professor of Computer Science,  University of Minnesota None","Spatial Big Data,Spatial Computing,Spatial Databases,Spatial Data Mining,Geographic Information Science",1897
19643,6117,Verified email at cis.upenn.edu - ,36,24,70,35,2018,1959,Mitchell Marcus,"Professor of Computer and Information Science,  University of Pennsylvania None",Natural Language Processing,138
19694,6956,Verified email at nyu.edu,53,37,119,101,2019,1974,Leslie Greengard,"Professor of Mathematics and Computer Science, Courant Institute of Mathematical Sciences,   New York University None","scientific computing,applied mathematics,electromagnetics,acoustics,computational biology",240
19708,14552,Verified email at inf.ethz.ch - ,69,63,158,156,2019,1997,Andreas Krause,"Professor of Computer Science,  ETH Zurich None","Machine Learning,Artificial Intelligence,Computational Sustainability,Submodularity,Bayesian Optimization",286
19741,8495,Verified email at igi.tugraz.at - ,65,43,186,107,2019,1974,Wolfgang Maass,"Professor of Computer Science,  Graz University of Technology None","Computational Neuroscience,Machine Learning,Computational Complexity Theory",474
19830,8357,Verified email at cse.unl.edu,71,44,148,119,2019,1985,Gregg Rothermel,"Professor of Computer Science,  University of Nebraska - Lincoln None",Software Engineering,231
19691,12336,No verified email,56,40,452,308,2020,1935,Bhoopendra singh,computer science computer None,computer,3055
19881,8969,Verified email at uni-ulm.de - ,70,44,324,218,2019,1991,Manfred Reichert,"Professor of Computer Science,  Ulm University , Germany","Business Process Management,Service Oriented Computing,E-Health,Information Systems,Business Process Modeling",680
19887,7233,Verified email at cs.stanford.edu,73,48,163,116,2019,1986,Alex Aiken,"Professor of Computer Science,  Stanford University None","programming languages,compilers,verification,parallelism",295
19902,4883,No verified email,72,34,262,114,2019,1965,Peter C. Young,Professor in the Environmental Science Division at Lancaster University. Director of CRES and joint head of the Systems and Cont Hydrology None,"Hydrology,Hydrological Modelling",637
19923,12247,Verified email at ics.uci.edu - ,45,39,80,71,2019,1999,Charless Fowlkes,"Department of Computer Science,  University of California, Irvine None","computer vision,biological image analysis",165
19963,9907,Verified email at cs.pitt.edu - ,54,39,108,78,2017,1986,Janyce Wiebe,"Professor Computer Science and Intelligent Systems,  University of Pittsburgh None","Natural Language Processing,Subjectivity and Sentiment Analysis,Discourse,Pragmatics,and Lexical Semantics",200
20005,5833,Verified email at manchester.ac.uk - ,64,34,201,108,2019,1988,Robert Stevens,"Professor of Computer Science, School of Computer Science,  university of manchester None","Bioinformatics,bio-ontologies,accessibility,visual disability",495
20064,5544,Verified email at Dartmouth.edu - ,71,38,174,95,2019,1968,David Kotz,"Professor of Computer Science,  Dartmouth College None","mobile health,pervasive computing,computer security,privacy",376
19958,10734,Verified email at ist.osaka-u.ac.jp - ,40,25,130,78,2019,1915,Katsuro Inoue,"Professor of Computer Science,  Osaka University None",Software Engineering,1925
20076,8717,Verified email at ucla.edu - ,70,45,195,150,2019,1992,Stefano Soatto,"Professor of Computer Science,  UCLA None","Computer Vision,Machine Learning,Video Analysis,Augmented Reality,Robotics",417
20139,7573,Verified email at cs.cmu.edu - ,72,49,175,143,2019,1985,Jessica Hodgins,"Professor of Computer Science and Robotics,  Carnegie Mellon University None","Computer Graphics,Animation,Humanoid Robotics",313
20195,7340,Verified email at uci.edu - ,36,30,44,40,2014,1996,David Newman,"Research Faculty, Computer Science,  University of California Irvine None","Machine Learning,Topic Modeling,Text Mining,NLP,Computational Linguistics",68
20151,9718,Verified email at cs.princeton.edu - ,60,42,108,87,2019,1748,Sanjeev Arora,"Professor of Computer Science,  Princeton University None","theoretical machine learning,theoretical computer science",217
20216,7092,Verified email at cis.upenn.edu - ,67,44,149,117,2020,1971,Michael Kearns,"Professor of Computer Science,  University of Pennsylvania None","Machine Learning,Algorithmic Game Theory,Network Science,Computational Social Science,Algorithmic Trading and Computational",278
20195,10236,Verified email at gatech.edu - ,72,51,190,146,2019,1988,James M. Rehg,"Professor of Computer Science,  Georgia Institute of Technology None","computer vision,robotics,machine learning,human-computer interaction,parallel and distributed computing",343
20293,7784,Verified email at iisc.ac.in,29,18,68,34,2019,1967,Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,"professor, computer science and automation, indian institute of science pattern recognition None","pattern recognition,data mining,machine learning,information retrieval,topic models",312
20253,5886,Verified email at cs.ucsb.edu - ,71,41,223,135,2019,1980,Subhash Suri,"Professor of Computer Science,  University of California, Santa Barbara None","Algorithms,Networking,Artificial Intelligence,Databases,Game Theory",421
20316,8783,Verified email at cs.bham.ac.uk - ,60,41,108,90,2018,1995,Joshua Knowles,"School of Computer Science,  University of Birmingham None","Evolution,Multiobjective Optimization,Decision Theory,Game Theory,Machine Learning",208
20301,13411,Verified email at jhu.edu - ,70,57,188,152,2019,1997,Rene Vidal,"Data Science, Imaging Science, Biomedical Engineering, Computer Science, Electrical, Mechanical Homepage None","Machine Learning,Computer Vision,Medical Image Computing,Robotics,Control Theory",375
20339,9868,Verified email at caltech.edu - ,58,44,93,76,2019,1985,Erik Winfree,"Professor of Computer Science, Computation & Neural Systems, and Bioengineering Homepage None","molecular programming,DNA computing,DNA nanotechnology,self-assembly,synthetic biology",126
20347,4068,Verified email at umich.edu - ,63,29,175,69,2019,1970,Benjamin Kuipers,"Professor of Computer Science & Engineering,  University of Michigan None","Artificial Intelligence,Robotics,Autonomous Learning",406
20382,5937,Verified email at cpsc.ucalgary.ca - ,66,38,146,92,2019,1977,Przemyslaw Prusinkiewicz,"Professor of Computer Science,  University of Calgary None","Computer Graphics,Biological Modelling,Morphogenesis,Plant Development",295
20493,5362,Verified email at bu.edu - ,63,31,155,72,2019,1986,Azer Bestavros,"Professor of Computer Science,  Boston University None","Cloud Computing,Distributed Systems,Content Distribution Networks,Real-Time Systems,Security and Privacy",393
20479,7858,Verified email at essex.ac.uk - ,61,32,235,109,2019,1989,Riccardo Poli,"Professor of Computer Science, CSEE,  University of Essex None","Biomedical Engineering,Brain-Computer Interfaces,Genetic Programming,Swarm Intelligence,Artificial Intelligence",587
20523,8112,Verified email at ucd.ie - ,72,42,285,164,2019,1946,Barry Smyth,"Digital Chair of Computer Science, Insight Centre for Data Analytics,  University College Dublin None","Personalization,User Modeling,Case-based Reasoning,Recommender Systems",597
20563,9425,Verified email at mit.edu - ,68,47,308,205,2019,1986,Erik Demaine,"Professor of Electrical Engineering and Computer Science,  Massachusetts Institute of Technology None","algorithms,computational geometry,data structures,graph algorithms,recreational algorithms",859
20573,10020,Verified email at ifi.lmu.de - ,63,50,301,204,2019,1984,Albrecht Schmidt,"Professor of Computer Science,  LMU Munich None","Human Computer Interaction,Mobile HCI,Ubiquitous Computing,Interaction Design,Wearable Computing",758
20610,5670,Verified email at cc.gatech.edu - ,74,36,212,101,2019,1978,Mostafa Ammar,"Regents' Professor and Interim Chair, School of Computer Science,  Georgia Tech None","Networking,Networked Services,Wireless and Mobile Networks,Multicast,Multimedia Communication",354
20618,5693,Verified email at tau.ac.il - ,52,31,110,71,2019,1967,Amos Fiat,"Professor of Computer Science,  Tel Aviv University None","Computational Game Theory,Data Structures,Online Algorithms",206
20575,13442,Verified email at cs.umanitoba.ca - ,57,47,542,370,2019,1940,Ashish Singh,"Graduate Student, Department of Computer Science,  University of Manitoba None",Social Human-Robot Interaction,3099
20710,19933,Verified email at agh.edu.pl,69,68,226,219,2019,1996,Tomasz Fiutowski,", Faculty of Physics and Applied Computer Science, Krakow AGH University of Science and Technology None",,1389
20688,13370,Verified email at aot.edu.in - ,63,49,452,313,2020,1926,Subhankar Roy,"Asst. Professor of Computer Science & Engg., Academy of Technology Homepage None","Compression,Hiding Technology",2520
20742,7733,Verified email at princeton.edu - ,54,43,82,75,2019,1995,Szymon Rusinkiewicz,", Department of Computer Science Princeton University None","Computer Graphics,Computational Fabrication,Computer Vision,Robotics",121
20734,9443,Verified email at ieee.oeg - ,70,44,303,159,2013,1995,Yang Xiao,"Professor, Department of Computer Science, The University of Alabama, Tuscaloosa, AL 35487-0290 USA Homepage None","Security,Telemedicine,Sensor networks,and Wireless networks,Alabama",618
20861,5015,Verified email at cs.toronto.edu,49,29,105,58,2020,1965,Stephen Cook,"Department of Computer Science,  University of Toronto None","Computational Complexity,Proof Complexity",282
20923,4733,Verified email at cs.washington.edu - ,51,27,207,78,2019,1974,Linda Shapiro,"Professor of Computer Science & Engineering,  University of Washington None","computer vision,pattern recogntion,medical image analysis",463
20938,8848,Verified email at cs.au.dk,65,44,178,136,2019,1986,Ivan Damgård,"Professor of Computer Science,  Aarhus University None","Cryptography,Computational Number Theory,Quantum information,Algorithms",341
21127,13489,Verified email at cad.zju.edu.cn - ,61,53,151,143,2019,2003,Deng Cai,"Professor of Computer Science,  Zhejiang University None","Machine learning,Computer vision,Data mining,Information retrieval",251
20958,10239,Verified email at cs.virginia.edu - ,63,41,175,122,2019,1977,Kevin Skadron,"Harry Douglas Forsyth Professor and Chair of Computer Science,  University of Virginia None","Computer architecture,parallel computing,automata processing,gpu computing,heterogeneous computing",396
21220,10576,Verified email at stat.ucla.edu - ,65,50,190,161,2019,1994,song-chun zhu,"Professor of Statistics and Computer Science,  UCLA None","Computer Vision,Learning,Cognition,Autonomy,Artificial Intelligence",354
21135,6854,Verified email at cs.columbia.edu - ,69,36,198,103,2019,1976,Kathleen McKeown,"Professor of Computer Science and Director, Data Science Institute,  Columbia University None","Artificial Intelligence,Natural Language Processing,Text Summarization",406
21265,20265,Verified email at cs.uw.edu - ,41,40,79,77,2019,1804,Ali Farhadi,"Associate Professor, Computer Science and Engineering,  University of Washington None","Computer Vision,Machine learning,Artificial Intelligence",129
21300,9176,Verified email at bangor.ac.uk - ,54,41,113,80,2019,1990,Ludmila Kuncheva,"Professor of Computer Science,  Bangor University , UK","Pattern Recognition,Machine Learning",199
21374,8640,Verified email at comp.lancs.ac.uk,55,34,149,80,2019,1989,Nigel Davies,"Distinguished Professor of Computer Science,  Lancaster University None","Mobile Computing,Pervasive and Ubiquitous Computing,Public Displays,Travel Information Systems,Augmented memory",392
21365,5440,Verified email at mpi-inf.mpg.de - ,73,35,243,103,2019,1973,Kurt Mehlhorn,"Professor of Computer Science,  Max Planck Institute for Informatics , Saarland Informatics Campus","Algorithms,Computational Geometry,Computer Algebra,Algorithm Engineering",734
21396,11341,Verified email at cse.osu.edu - ,36,31,60,53,2019,1991,Mikhail (Misha)  Belkin,"Professor of Computer Science and Statistics,  Ohio State University None","Machine Learning,Learning Theory,Artificial Intelligence",130
21414,10318,Verified email at middlebury.edu - ,32,25,42,32,2019,1993,Daniel Scharstein,"Professor of Computer Science,  Middlebury College None","Computer Vision,Robotics",69
21402,7163,Verified email at forsyte.tuwien.ac.at - ,38,30,84,57,2018,1995,Helmut Veith,"Professor of Computer Science,  Vienna University of Technology  / TU Wien","Formal Methods,Model Checking,Software Engineering,Logic in Computer Science,Computer Security",208
21419,11372,Verified email at uci.edu - ,57,41,173,115,2019,1758,A. Lee Swindlehurst,"Professor of Electrical Engineering and Computer Science,  University of California Irvine None","signal processing,wireless communications,sensor arrays,radar",431
21506,10716,Verified email at seas.harvard.edu - ,71,54,254,203,2019,1992,Hanspeter Pfister,"An Wang Professor of Computer Science,  Harvard University None","Visualization,Computer Vision,Computer Graphics",471
21585,14093,Verified email at colorado.edu - ,37,31,65,57,2019,2002,Aaron Clauset,"Associate Professor of Computer Science,  University of Colorado Boulder None","Network Science,Complex Networks,Machine Learning,Computational Biology,Computational Social Science",115
21524,6832,Verified email at kbs.uni-hannover.de - ,71,40,312,138,2019,1987,Wolfgang Nejdl,"Professor of Computer Science,  Leibniz Universität Hannover , L3S Research Center, Hannover, Germany","Information Retrieval,Web Science,Social Media,Data Mining,Semantic Technologies",634
21591,7589,Verified email at kth.se - ,52,29,80,52,2019,1987,Tony Lindeberg,"Professor of Computer Science - Computational Vision,  KTH Royal Institute of Technology None","Computer Vision,Scale Space,Recognition,Image Analysis,Neuroscience",137
21599,6134,Verified email at inf.ethz.ch - ,70,41,214,127,2019,1989,Gustavo Alonso,"Professor of Computer Science,  ETH Zürich , Switzerland","Data Management,Distributed Systems,Databases,Middleware",488
21586,13552,Verified email at auvsp.edu.in,58,44,490,354,2019,1902,M Sampath Kumar,"Department of Computer Science & Systems Engineering,  Andhra University None","Cryptography,Data Mining",3351
21642,6622,Verified email at cs.cornell.edu,56,36,100,69,2019,1984,David Shmoys,Professor of Operations Research & Information Engineering and of Computer Science Optimization None,"Optimization,Design and analysis of algorithms,Data Science",201
21777,21202,Verified email at ucsd.edu - ,29,28,45,43,2019,2006,Hao Su,"Professor of Computer Science,  UCSD None","Computer Graphics,Computer Vision,Machine Learning",77
21611,14484,No verified email,56,44,382,288,4,1913,A.Ashok Kumar,Department of computer science Computer Algorithms None,Computer Algorithms,3055
21791,12249,No verified email,66,45,479,305,2019,1901,Savita Gupta,"Professor of Computer Science and Engineering, UIET, Panjab University, Chandigarh image processing None","image processing,image compression and denoising,and wavelet applications",3069
21800,13325,Verified email at drexel.edu,49,40,631,452,2019,1960,Xiaohua Hu,"Professor of Computer Science and Information Science,  Drexel University None","data mining,big data,bioinformatics,rough sets",3075
21811,4581,Verified email at cs.stonybrook.edu - ,81,35,281,115,2019,1969,Arie Kaufman,"Distinguished Professor and Chair of Computer Science,  Stony Brook University None","visualization,computer graphics,virtual reality,geometric modeling,medical imaging",630
21819,9704,Verified email at colorado.edu - ,62,42,200,115,2019,1977,Martha Stone Palmer,"Professor of Linguistics, Computer Science,  University of Colorado None","Computational Linguistics,Artificial Intelligence,Medical Informatics,Intelligent Tutoring,Human-centered Computing",386
21898,4845,Verified email at cs.cmu.edu,54,25,131,53,2018,1967,Mary Shaw,"A.J. Perlis University Professor of Computer Science,  Carnegie Mellon Univeristy None","Software Engineering,Software Architecture,Software Design,Self-Adaptive Systems",370
21968,7841,Verified email at cs.biu.ac.il - ,68,43,257,160,2020,1983,Sarit Kraus,"Professor Of Computer Science,  Bar-Ilan University None","Artificial Intelligence,Multi-agent Systems (including people and robots)",564
22054,6680,Verified email at cs.brown.edu,67,39,215,107,2019,1983,Roberto Tamassia,"Professor of Computer Science,  Brown University None","algorithhms,computer security,applied cryptography,graph drawing,information visualization",445
22063,17152,Verified email at cs.toronto.edu - ,56,45,138,112,2019,1990,Richard Zemel,"Professor of Computer Science,  University of Toronto None","Machine Learning,Computer Vision,Neural Coding",250
22091,2531,Verified email at cc.gatech.edu,39,13,85,21,2018,1967,James Foley,"Professor of Computer Science,  Georgia Institute of Technology None","computer graphics,human-computer interaction,information visualization",236
22091,7030,Verified email at manchester.ac.uk - ,56,34,152,102,2019,1914,Bijan Parsia,"Reader in Computer Science,  University of Manchester None","Artificial Intelligence,Ontologies,Semantic Web,Knowledge Representation",309
22113,17508,Verified email at ucl.ac.uk,55,39,139,113,2019,1997,Thore Graepel,"Research Scientist, Google DeepMind, and Professor of Computer Science,  UCL None","Machine Learning,Probabilistic Modelling,Reinforcement Learning,Deep Learning",225
22150,7758,Verified email at cs.columbia.edu - ,55,40,92,86,2019,1995,Michael Collins,"Professor of Computer Science,  Columbia University ; Google NYC","Computational Linguistics,Natural Language Processing,Machine Learning,Artificial Intelligence",118
22154,8614,Verified email at cs.washington.edu - ,30,24,840,180,2015,1781,James R. Lee,"Professor of Computer Science,  University of Washington None",Theoretical Computer Science,2623
22278,4696,Verified email at OleMiss.edu - ,74,31,203,90,2019,1980,Jeffrey S. Vitter,Distinguished Professor of Computer & Information Science and Chancellor of the Univ. of Mississippi Homepage None,"Algorithms,External Memory,Compressed Data Structures,Data Compression,Parallel Computing",400
22169,15737,No verified email,60,52,546,416,2018,1964,Jiacong Zhao,"student of computer science, university of southampton software engineering None",software engineering,3140
22354,8492,Verified email at ics.uci.edu - ,51,32,110,73,2019,1901,Vijay Vazirani,"Distinguished Professor, Dept. of Computer Science,  University of California, Irvine .","Algorithms,Complexity Theory,Theory of Computing",313
22437,7364,Verified email at cs.brandeis.edu - ,65,39,193,105,2019,1868,James Pustejovsky,"TJX Feldberg Chair of Computer Science,  Brandeis University None","Computational Linguistics,Artificial Intelligence,Linguistics,Semantics,Lexicon",567
22521,6618,Verified email at tau.ac.il,77,38,157,100,2019,1978,Haim J. Wolfson,"Professor of Computer Science,  Tel Aviv University None","Computational Structural Biology,Structural  Bioinformatics,Computer Vision,Geometric Computing,Spatial Pattern Discovery",252
22611,5994,Verified email at cs.helsinki.fi - ,52,34,107,75,2019,1985,Hannu (TT) Toivonen,"Professor of Computer Science,  University of Helsinki None","Computer Science,Data Science,Computational Creativity,Artificial Intelligence,#UnivHelsinkiCS",275
22561,6656,Verified email at illinois.edu - ,71,39,297,126,2019,1956,Roy H Campbell,"Professor of Computer Science,  University of Illinois None","operating systems,ubiquitous computing,cloud computing,distributed systems,security",838
22616,9345,Verified email at cs.columbia.edu - ,44,36,89,69,2019,1995,Itsik Pe'er,"Professor of Computer Science,  Columbia University None","Computational Biology,Computational Genetics,Bioinformatics",171
22644,22512,Verified email at cs.stanford.edu - ,11,11,11,11,2016,2011,Andrej Karpathy,"Computer Science PhD student,  Stanford University None","Machine Learning,Computer Vision,Artificial Intelligence",11
22774,8079,Verified email at cs.ucdavis.edu,50,34,135,80,2019,1956,Matt Franklin,"Professor of Computer Science,  U. C. Davis None",cryptography,321
22785,8898,Verified email at cs.ox.ac.uk - ,48,35,160,114,2019,1999,Daniel Kroening,"Professor of Computer Science,  University of Oxford None","Automated verification,Testing,Static Analysis",354
22845,12729,Verified email at fau.edu,71,45,322,211,2019,1972,Taghi M. Khoshgoftaar,"Motorola Endowed Chair Professor, Computer Science,  Florida Atlantic University None","Data Mining and Machine Learning,Big Data and Data Analytics Applications",707
22620,11275,Verified email at cse.uta.edu - ,56,35,530,297,2019,1915,Ishfaq Ahmad,Professor of Computer Science and Engineering at The  University of Texas at Arlington None,"Parallel and Distributed Computing,video coding,Green Computing,Big Data Processing,Multimedia",3113
22874,5743,Verified email at cs.biu.ac.il - ,48,22,111,50,2019,1988,Doron A. Peled,Professor Of Computer Science Homepage None,"Concurrency Theory,Model Checking,Verification,Software Testing,Program Synthesis",273
22888,4851,Verified email at buffalo.edu,72,34,276,139,2019,1981,Chunming Qiao,Computer Science and Engineering network protocols None,"network protocols,network architectures,optical networks,connected vehicles,resilient systems",585
23076,13968,Verified email at uh.edu - ,50,44,83,81,2019,2005,Yan Yao,Associate Professor of Electrical and Computer Engineering and Materials Science and Engineering Homepage None,"Advanced energy storage,Battery,Conjugate Polymer,Organic Electronics",161
23092,7477,Verified email at sssup.it - ,61,36,168,109,2019,1986,Giorgio Buttazzo,"Professor of Computer Science,  Scuola Superiore Sant'Anna None",Real-Time Systems,484
23183,2480,Verified email at ieee.org - ,64,25,160,51,2017,1962,Theodosios Pavlidis,"Distinguished Professor Emeritus of Computer Science, Stony Brook University Homepage None",Machine Vision,420
23263,6523,Verified email at cims.nyu.edu - ,54,33,113,75,2019,1972,Patrick Cousot,"Professor of Computer Science, CIMS,  New York University None","Abstract Interpretation,Semantics,Verification,Formal methods",269
23391,8851,Verified email at cs.stanford.edu - ,75,46,156,115,2019,1895,James Landay,"Professor of Computer Science,  Stanford University None","Human-Computer Interaction,Ubiquitous Computing,Design,mobile computing,HCI",311
23475,12354,Verified email at gmu.edu,72,58,171,154,2019,1979,Jonathan Katz,"Professor of Computer Science,  George Mason University None","Cryptography,Computer Security,Theoretical Computer Science",351
23112,9066,Verified email at ucsd.edu - ,66,43,395,171,2019,1901,Rajesh K. Gupta,"Professor of Computer Science and Engineering,  UC San Diego None","Embedded Systems,Cyber-Physical Systems,Computer-Aided Design,Sensor Networks",3158
23481,6656,Verified email at uwaterloo.ca - ,68,36,247,105,2019,1977,Douglas Stinson,"Professor Emeritus, David R. Cheriton School of Computer Science,  University of Waterloo None","Cryptography,security,combinatorics",496
23545,10769,Verified email at epfl.ch - ,67,49,169,122,2019,1990,Wulfram GERSTNER,"Professor of Computer Science,  EPFL , Brain Mind Institute, Ecole Polytechnique Federale de Lausanne","Computational Neuroscience,Theoretical Neuroscience",394
23574,14512,Verified email at cs.rochester.edu - ,89,63,286,220,2019,1972,Jiebo Luo,"Professor of Computer Science,  University of Rochester None","computer vision,multimedia,computational social science,computational medicine,big data analytics",635
23780,8867,Verified email at rhul.ac.uk,21,15,26,21,2019,1986,Chris Watkins,"Professor in Computer Science,  Royal Holloway None","Machine Learning,Artificial Intelligence,Evolutionary Theory",54
23599,13490,No verified email,62,48,392,265,2019,1957,Chung-Nan Lee,"Department of Computer Science and Engineering, National Sun Yat-sen University Wireless Multimedia System None","Wireless Multimedia System,Cloud computing,Wireless Communication Protocol",1330
23785,13786,Verified email at utk.edu - ,73,63,285,229,2019,1986,Leon M. Tolbert,"Min H. Kao Professor in Electrical Engineering and Computer Science, The  University of Tennessee None","power electronics,renewable energy,electric vehicles,wide band gap power electronics,electrical engineering",534
23843,7141,Verified email at cs.yale.edu,51,26,97,46,2019,1963,Michael Fischer,"Professor of Computer Science,  Yale University None","Distributed computing,cryptography",219
23888,7342,Verified email at cs.cmu.edu - ,83,43,255,171,2019,1990,Tuomas Sandholm,"Angel Jordan Professor of Computer Science,  Carnegie Mellon University None","Artificial intelligence,auctions,market design,game theory,mechanism design",480
23977,10671,Verified email at cs.uic.edu,67,46,482,295,2020,1924,Clement Yu,"Professor of Computer Science,  University of Illinois at Chicago None","information retrieval,data base",2306
24095,12433,Verified email at kaist.ac.kr - ,58,44,566,319,2019,1,kwangjo kim,"Professor, Computer Science Department,  KAIST None","Information Security,Cryptography",2453
24102,15397,No verified email - ,60,44,471,325,2019,1919,Ram Kumar N,"Department of Computer Science & Engineering, SASTRA University. Homepage None","Cloud Scheduling,Virtualization,image processing and Wireless Sensor Networks",3052
24130,13436,Verified email at cse.iitd.ernet.in,62,49,566,323,2019,1750,Shyam Kumar Gupta,"Professor of Computer Science ,  IIT Delhi None","Data base,Data Mining,Index based segmentation,Reconstruction Conjecture,Privacy in databases",3114
24184,9333,Verified email at tau.ac.il - ,74,46,221,143,2019,1983,Ron Shamir,"Professor of Computer Science and Bioinformatics,  Tel Aviv University None","Bioinformatics,computational biology,algorithms",419
24142,6660,Verified email at syr.edu - ,72,33,340,144,2020,1869,Tapan Kumar Sarkar,"Professor, Department of Electrical Engineering and Computer Science,  Syracuse University , NY, USA","Antennas and Propagation,Computational Eectromagnetics,Signal Processing",1471
24280,4104,Verified email at nottingham.ac.uk - ,56,30,140,62,2019,1956,Chris Greenhalgh,"Professor of Computer Science,  University of Nottingham None","Ubiquitous Computing,Appropriate Digital Technology",327
24271,14259,Verified email at cs.qc.edu,70,52,535,408,2020,1946,J Chen,"Prof. of Computer Science, Queens College AI None","AI,Data Mining,Information Retrieval,Web",1408
24320,8234,Verified email at informatik.uni-leipzig.de,58,38,180,116,2019,1984,Erhard Rahm,"Professor of Computer Science,  University of Leipzig None","Data Integration,Databases,large_scale_data_management,Data_Science,Data_Privacy",301
24327,14278,Verified email at cs.utexas.edu - ,44,39,66,59,2018,1993,Hovav Shacham,"Professor of Computer Science, The  University of Texas at Austin None","Cryptography,Computer Security",110
24366,11165,Verified email at ucsd.edu,57,42,99,70,2018,1987,Charles Elkan,"Professor of Computer Science,  University of California, San Diego None","Machine Learning,Data Science,Finance,Computational Biology",207
24339,11201,Verified email at iii.u-tokyo.ac.jp - ,75,55,232,178,2019,1987,Jun Rekimoto,"Professor, The  University of Tokyo , Fellow and Deputy Director, Sony Computer Science Laboratories","Human-Computer Interaction,Human-Augmentation,Human-AI-Integration,Ubiquitous Computing,Augmented Reality",562
24371,6621,Verified email at dartmouth.edu - ,68,36,264,107,2019,1987,V.S. Subrahmanian,"Department of Computer Science & ISTS,  Dartmouth College None","Artificial Intelligence,Databases,Social Networks,Behavior Analytics,Forecasting",628
24423,10398,Verified email at umich.edu - ,75,50,297,189,2019,1934,Jeff Fessler,"Professor of Electrical Engineering and Computer Science,  Univ. of Michigan None","Image Reconstruction,Image Formation,Image Processing",806
